location,target_end_date,quantile,value,forecast_date,target,type
1,2023-05-11,0.1,12.99252143,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.15,14.92571678,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.2,16.52098926,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.25,17.94273821,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.3,19.05060413,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.35,20.58115844,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.4,21.87857873,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.45,23.25838567,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.5,24.94203501,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.55,26.35358133,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.6,27.66261853,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.65,29.23354417,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.7,31.22054748,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.75,32.89006936,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.8,34.83706829,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.85,37.99723662,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.9,42.62872318,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.95,49.19272485,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.975,55.91179461,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.99,61.26833768,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-12,0.01,1.915800009,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.025,3.909477668,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.05,9.123542775,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.1,13.21999447,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.15,14.9794441,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.2,16.75747171,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.25,17.93296875,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.3,19.28964903,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.35,20.72575866,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.4,21.75754833,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.45,23.11919547,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.5,24.68523872,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.55,26.32377587,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.6,27.86647659,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.65,29.65265637,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.7,31.29499307,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.75,33.42443173,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.8,35.65657613,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.85,38.72669569,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.9,43.05797458,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.95,51.51393866,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.975,56.97149132,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-12,0.99,67.47023075,2023-05-08,11 day ahead inc hosp,quantile
1,2023-05-13,0.01,1.833825879,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.025,3.595655419,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.05,9.218257969,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.1,12.72369535,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.15,14.92809998,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.2,16.63547891,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.25,17.99932087,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.3,19.41646725,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.35,20.87643788,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.4,21.63827435,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.45,22.87139748,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.5,24.53146322,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.55,26.36868604,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.6,28.40263466,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.65,30.30289036,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.7,31.77415986,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.75,34.25950489,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.8,36.70749801,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.85,39.72261354,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.9,44.38206145,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.95,53.81898995,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.975,60.13076879,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-13,0.99,69.39080165,2023-05-08,12 day ahead inc hosp,quantile
1,2023-05-14,0.01,1.563213592,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.025,3.264573042,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.05,8.146523492,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.1,12.74786064,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.15,14.63662747,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.2,16.38669371,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.25,17.88778228,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.3,19.48752418,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.35,20.78607503,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.4,22.03436926,2023-05-08,13 day ahead inc hosp,quantile
